COURSE_ID;SEC_ID;SEMESTER;YEAR;BUILDING;ROOM_NUMBER;TIME_SLOT_ID
string;number;string;number;string;number;string
BIO-101;1;SUMMER;2017;PAINTER;514;B
BIO-301;1;SUMMER;2018;PAINTER;514;A
CS-101;1;FALL;2017;PACKARD;101;H
CS-101;1;SPRING;2018;PACKARD;101;F
CS-190;1;SPRING;2017;TAYLOR;3128;E
CS-190;2;SPRING;2017;TAYLOR;3128;A
CS-315;1;SPRING;2018;WATSON;120;D
CS-319;1;SPRING;2018;WATSON;100;B
CS-319;2;SPRING;2018;TAYLOR;3128;C
CS-347;1;FALL;2017;TAYLOR;3128;A
EE-181;1;SPRING;2017;TAYLOR;3128;C
FIN-201;1;SPRING;2018;PACKARD;101;B
HIS-351;1;SPRING;2018;PAINTER;514;C
MU-199;1;SPRING;2018;PACKARD;101;D
PHY-101;1;FALL;2017;WATSON;100;A
BIO-101;1;SUMMER;2019;NULL;100;NULL
